gene,MitoPathways,Symbol,GeneSymbol,Gene Symbol,Pathways
RPUSD3,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications,RPUSD3,RPUSD3,RPUSD3,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications
SUOX,Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins | Metabolism > Sulfur metabolism,SUOX,SUOX,SUOX,Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins | Metabolism > Sulfur metabolism
SARDH,Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism,SARDH,SARDH,SARDH,Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism
RIDA,0,RIDA,RIDA,RIDA,0
COX8A,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,COX8A,COX8A,COX8A,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
SPR,Metabolism > Metals and cofactors > Tetrahydrobiopterin synthesis,SPR,SPR,SPR,Metabolism > Metals and cofactors > Tetrahydrobiopterin synthesis
MPV17,Small molecule transport,MPV17,MPV17,MPV17,Small molecule transport
ZADH2,Metabolism > Lipid metabolism > Eicosanoid metabolism,ZADH2,ZADH2,ZADH2,Metabolism > Lipid metabolism > Eicosanoid metabolism
MRPL18,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL18,MRPL18,MRPL18,Mitochondrial central dogma > Translation > Mitochondrial ribosome
ALDH1B1,Metabolism > Detoxification > Xenobiotic metabolism,ALDH1B1,ALDH1B1,ALDH1B1,Metabolism > Detoxification > Xenobiotic metabolism
CHCHD1,Mitochondrial central dogma > Translation > Mitochondrial ribosome,CHCHD1,CHCHD1,CHCHD1,Mitochondrial central dogma > Translation > Mitochondrial ribosome
TIMM8A,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting",TIMM8A,TIMM8A,TIMM8A,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting"
VDAC3,Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport,VDAC3,VDAC3,VDAC3,Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport
SLC25A24,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family,SLC25A24,SLC25A24,SLC25A24,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family
MPC1,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport,MPC1,MPC1,MPC1,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport
SLC25A22,Small molecule transport > SLC25A family,SLC25A22,SLC25A22,SLC25A22,Small molecule transport > SLC25A family
SLC25A31,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport > SLC25A family,SLC25A31,SLC25A31,SLC25A31,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport > SLC25A family
SLC25A18,Small molecule transport > SLC25A family,SLC25A18,SLC25A18,SLC25A18,Small molecule transport > SLC25A family
TRNT1,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications,TRNT1,TRNT1,TRNT1,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications
IDE,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",IDE,IDE,IDE,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
GSTK1,Metabolism > Detoxification > Xenobiotic metabolism,GSTK1,GSTK1,GSTK1,Metabolism > Detoxification > Xenobiotic metabolism
VARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases,VARS2,VARS2,VARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
HSPE1,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones",HSPE1,HSPE1,HSPE1,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"
MRPL54,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL54,MRPL54,MRPL54,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MRPL38,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL38,MRPL38,MRPL38,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MRPL58,Mitochondrial central dogma > Translation > Mitochondrial ribosome | Mitochondrial central dogma > Translation > Translation factors,MRPL58,MRPL58,MRPL58,Mitochondrial central dogma > Translation > Mitochondrial ribosome | Mitochondrial central dogma > Translation > Translation factors
MTCH1,Small molecule transport > SLC25A family,MTCH1,MTCH1,MTCH1,Small molecule transport > SLC25A family
TRIAP1,Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism,TRIAP1,TRIAP1,TRIAP1,Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism
PTCD3,Mitochondrial central dogma > Translation > Mitochondrial ribosome | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,PTCD3,PTCD3,PTCD3,Mitochondrial central dogma > Translation > Mitochondrial ribosome | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
COX10,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Heme synthesis and processing | OXPHOS > OXPHOS assembly factors,COX10,COX10,COX10,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Heme synthesis and processing | OXPHOS > OXPHOS assembly factors
AKAP1,Signaling > cAMP-PKA signaling,AKAP1,AKAP1,AKAP1,Signaling > cAMP-PKA signaling
MRM3,Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,MRM3,MRM3,MRM3,Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
AK2,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,AK2,AK2,AK2,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
TMEM70,OXPHOS > Complex I > CI assembly factors | OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors,TMEM70,TMEM70,TMEM70,OXPHOS > Complex I > CI assembly factors | OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors
NOA1,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,NOA1,NOA1,NOA1,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
MCUR1,0,MCUR1,MCUR1,MCUR1,0
TMEM14C,0,TMEM14C,TMEM14C,TMEM14C,0
NDUFC1,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFC1,NDUFC1,NDUFC1,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
MRPL35,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL35,MRPL35,MRPL35,Mitochondrial central dogma > Translation > Mitochondrial ribosome
NDUFA3,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFA3,NDUFA3,NDUFA3,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
PDSS1,Metabolism > Metals and cofactors > Coenzyme Q metabolism,PDSS1,PDSS1,PDSS1,Metabolism > Metals and cofactors > Coenzyme Q metabolism
SLC25A16,Small molecule transport > SLC25A family,SLC25A16,SLC25A16,SLC25A16,Small molecule transport > SLC25A family
FMC1,OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors,FMC1,FMC1,FMC1,OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors
ACSM3,Metabolism > Lipid metabolism > Fatty acid oxidation,ACSM3,ACSM3,ACSM3,Metabolism > Lipid metabolism > Fatty acid oxidation
NDUFAF6,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,NDUFAF6,NDUFAF6,NDUFAF6,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
UCP1,Small molecule transport > SLC25A family,UCP1,UCP1,UCP1,Small molecule transport > SLC25A family
SFXN1,Metabolism > Amino acid metabolism > Serine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Small molecule transport > Sideroflexins,SFXN1,SFXN1,SFXN1,Metabolism > Amino acid metabolism > Serine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Small molecule transport > Sideroflexins
GLRX5,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,GLRX5,GLRX5,GLRX5,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
PTRH1,0,PTRH1,PTRH1,PTRH1,0
MRPS11,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPS11,MRPS11,MRPS11,Mitochondrial central dogma > Translation > Mitochondrial ribosome
XPNPEP3,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",XPNPEP3,XPNPEP3,XPNPEP3,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
PDP1,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,PDP1,PDP1,PDP1,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
ECI1,Metabolism > Lipid metabolism > Fatty acid oxidation,ECI1,ECI1,ECI1,Metabolism > Lipid metabolism > Fatty acid oxidation
SLC25A21,Metabolism > Amino acid metabolism | Small molecule transport > SLC25A family,SLC25A21,SLC25A21,SLC25A21,Metabolism > Amino acid metabolism | Small molecule transport > SLC25A family
SLC25A29,Metabolism > Amino acid metabolism > Lysine metabolism | Small molecule transport > SLC25A family,SLC25A29,SLC25A29,SLC25A29,Metabolism > Amino acid metabolism > Lysine metabolism | Small molecule transport > SLC25A family
SLC25A45,Small molecule transport > SLC25A family,SLC25A45,SLC25A45,SLC25A45,Small molecule transport > SLC25A family
SDHAF3,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors,SDHAF3,SDHAF3,SDHAF3,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors
PRELID3B,Metabolism > Lipid metabolism > Phospholipid metabolism,PRELID3B,PRELID3B,PRELID3B,Metabolism > Lipid metabolism > Phospholipid metabolism
SLC25A39,Small molecule transport > SLC25A family,SLC25A39,SLC25A39,SLC25A39,Small molecule transport > SLC25A family
NDUFB3,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFB3,NDUFB3,NDUFB3,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
REXO2,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay,REXO2,REXO2,REXO2,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay
GATM,Metabolism > Nucleotide metabolism > Creatine metabolism,GATM,GATM,GATM,Metabolism > Nucleotide metabolism > Creatine metabolism
TIMM10B,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting",TIMM10B,TIMM10B,TIMM10B,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting"
SARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases,SARS2,SARS2,SARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
CHDH,"Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Metabolism > Electron carriers > Q-linked reactions, other",CHDH,CHDH,CHDH,"Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Metabolism > Electron carriers > Q-linked reactions, other"
MRPL57,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL57,MRPL57,MRPL57,Mitochondrial central dogma > Translation > Mitochondrial ribosome
C8ORF82,0,C8ORF82,C8ORF82,C8ORF82,0
EARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases,EARS2,EARS2,EARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
GRHPR,Metabolism > Amino acid metabolism > Glyoxylate metabolism,GRHPR,GRHPR,GRHPR,Metabolism > Amino acid metabolism > Glyoxylate metabolism
MTFMT,Mitochondrial central dogma > Translation > fMet processing | Metabolism > Vitamin metabolism > Folate and 1-C metabolism,MTFMT,MTFMT,MTFMT,Mitochondrial central dogma > Translation > fMet processing | Metabolism > Vitamin metabolism > Folate and 1-C metabolism
PTCD2,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing,PTCD2,PTCD2,PTCD2,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing
ECHDC1,Metabolism > Lipid metabolism,ECHDC1,ECHDC1,ECHDC1,Metabolism > Lipid metabolism
HARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases,HARS2,HARS2,HARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
NDUFA4,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,NDUFA4,NDUFA4,NDUFA4,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
NDUFA13,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFA13,NDUFA13,NDUFA13,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
NAXE,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism,NAXE,NAXE,NAXE,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism
TMEM11,Mitochondrial dynamics and surveillance,TMEM11,TMEM11,TMEM11,Mitochondrial dynamics and surveillance
SELENOO,Metabolism > Detoxification > Selenoproteins,SELENOO,SELENOO,SELENOO,Metabolism > Detoxification > Selenoproteins
NAGS,Metabolism > Amino acid metabolism > Urea cycle,NAGS,NAGS,NAGS,Metabolism > Amino acid metabolism > Urea cycle
HSD17B4,Metabolism > Lipid metabolism,HSD17B4,HSD17B4,HSD17B4,Metabolism > Lipid metabolism
NDUFAF7,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,NDUFAF7,NDUFAF7,NDUFAF7,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
OAT,Metabolism > Amino acid metabolism > Proline metabolism,OAT,OAT,OAT,Metabolism > Amino acid metabolism > Proline metabolism
MRPL50,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL50,MRPL50,MRPL50,Mitochondrial central dogma > Translation > Mitochondrial ribosome
COX7B,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,COX7B,COX7B,COX7B,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
RARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases,RARS2,RARS2,RARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
OXLD1,0,OXLD1,OXLD1,OXLD1,0
LACTB2,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay,LACTB2,LACTB2,LACTB2,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay
NDUFA11,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFA11,NDUFA11,NDUFA11,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
AURKAIP1,Mitochondrial central dogma > Translation > Mitochondrial ribosome,AURKAIP1,AURKAIP1,AURKAIP1,Mitochondrial central dogma > Translation > Mitochondrial ribosome
CHCHD7,Metabolism > Metals and cofactors > Copper metabolism,CHCHD7,CHCHD7,CHCHD7,Metabolism > Metals and cofactors > Copper metabolism
SHMT2,Metabolism > Amino acid metabolism > Serine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism,SHMT2,SHMT2,SHMT2,Metabolism > Amino acid metabolism > Serine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism
MTHFD2,Metabolism > Vitamin metabolism > Folate and 1-C metabolism,MTHFD2,MTHFD2,MTHFD2,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
RMDN1,0,RMDN1,RMDN1,RMDN1,0
CPS1,Metabolism > Amino acid metabolism > Urea cycle,CPS1,CPS1,CPS1,Metabolism > Amino acid metabolism > Urea cycle
MRPL14,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL14,MRPL14,MRPL14,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MTRES1,Mitochondrial central dogma > mtRNA metabolism > Transcription | Mitochondrial central dogma > Translation,MTRES1,MTRES1,MTRES1,Mitochondrial central dogma > mtRNA metabolism > Transcription | Mitochondrial central dogma > Translation
RDH13,Metabolism > Vitamin metabolism > Vitamin A metabolism,RDH13,RDH13,RDH13,Metabolism > Vitamin metabolism > Vitamin A metabolism
TRMT2B,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications,TRMT2B,TRMT2B,TRMT2B,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications
MRPS24,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPS24,MRPS24,MRPS24,Mitochondrial central dogma > Translation > Mitochondrial ribosome
